iata_code^icao_code^name^alias
0B^BMS^Blue Air^
0C^^Catovair^
0J^^Premium Jet AG^
0O^^STA Travel^
0P^^Palau Pacific Airways^
0V^VFC^Vietnam Air Services Company^
0W^^W Caribbean Costa Rica^
1A^AGT^Amadeus^
1B^^Abacus^Abacus
1C^^EDS Information Business^Gemini
1D^^Raddix Solutions^
1E^^Travelsky Technology^Civil China
1F^TTF^Infini Travel Information^
1G^^Travelport Galileo^Galileo
1H^^Sirena Travel^
1I^^Netjets Aviation^
1J^^Axess International^
1K^^Sutra^Southern
1L^^Navitaire Open Skies^
1M^^Sirena Jsc^Sertel
1N^^Navitaire New Skies^
1O^^Phoenix Systems Dertours^
1P^WSP^Travelport Worldspan^Worldspan
1Q^^Joint Stock Company Ital^
1R^^Bird Information Systems^
1S^^Sabre^
1T^^East Line^
1U^^ITA Software^Google ITA
1V^^Galileo International^Covia
1W^^Sabre^
1X^^Branson Air Express^
1Y^^Electronic Data Systems (EDS)^
1Z^APD^Fantasia Info Network^Asia Pacific
2A^DBB^Deutsche Bahn^
2B^AWT^Albawings^
2C^^SNCF^
2D^EAL^Eastern Airlines, LLC^
2E^EIX^Smokey Bay Air^Ei Air Export
2F^FAV^Fair Aviation^
2G^^Angara Airlines^
2H^^Thalys^
2I^SRU^Star Perú^
2J^VBW^Air Burkina^
2K^GLG^Aerolineas Galapagos^Aerogal
2L^OAW^Helvetic Airways^2L Helvetic
2M^MYD^Maya Island Air^
2N^NTJ^Nextjet^
2O^RNE^Redemption^
2P^GAP^PAL Express^
2Q^SNC^Air Cargo Carriers^
2R^VRR^VIA Rail Canada^
2S^^Air Carnival^
2T^TBS^Timbis Air^
2U^ERO^Ero Sun d'Or^
2V^^Amtrak^
2Z^PTB^Passaredo Transportes^
3A^^Chu Kong Passenger Transport^Mafira Air
3B^JBR^Job Air^
3C^^Calima Aviacion^Corporate Exp
3D^^Dokasch^
3E^OMQ^Multi Aero^Air Bretagne
3F^^Pacific Airways^
3G^CXM^AsiaCargo Express^
3H^AIE^Air Inuit^
3I^LFM^Pison Airways Ltd^Virgin Austra
3J^JBW^Jubba Airways Kenya^
3K^JSA^Jetstar Asia Airways^
3M^GFT^Silver Airways^
3N^URG^Air Urga^Airvantage
3O^MAC^Air Arabia Maroc^
3Q^^Carib Aviation Limited^Yunnan Air
3R^DVR^Divi Divi Air^
3S^^Air Antilles Express^
3T^TRQ^Tarco Air^Turan Air
3U^CSC^Sichuan Airlines^
3V^TAY^Tnt Airways^Viking Air
3W^MWI^Malawian Airlines^
3X^^Premier Trans Aire^
3Z^TVP^Travel Service Polska^
4A^AMP^Aero Transporte^ATSA
4B^TUP^Aviastar TU^
4C^ARE^LATAM Colombia^
4D^ASD^Air Sinai^
4E^TNR^Tanana Air Service^
4F^FDT^Freedom Airline Express^
4G^GZP^Gazpromavia^
4H^^United Airways Bangladesh^Trans Pacific
4I^IZM^Ihy Izmir Havayollari^
4J^^Flydamas Airlines^
4K^KBA^Kenn Borek Air^
4L^^Palau National Airlines^
4M^DSM^LATAM Argentina^
4N^^Air North^
4O^AIJ^Interjet^
4P^^Travel Air^
4Q^SFW^Safi Airways^
4R^SEK^Star East Airline^
4S^STB^Star Airways^Aerohonduras
4T^^Belair Airlines^Russian Air
4U^GWI^Germanwings^
4V^^Lacbravo^
4W^VNA^Warbelows Air Ventures^
4X^ANX^Atlantic Express Airline^
4Y^TUD^Flight Alaska^Yute Air Alaska
4Z^LNK^Airlink^
5B^BSX^Bassaka Air^
5C^^Nature Air^
5D^SLI^Aeroméxico Connect^Aeromexico Connect
5E^JTM^East Coast Flight Services^
5F^FIA^Fly One^
5H^FFV^Five Fourty Aviation^
5I^^ALSA^Alsa Grupo SLU
5J^CEB^Cebu Pacific^
5K^HFY^Hi Fly^
5L^^Fly Salone^
5M^MNT^Montserrat Airways^Sibaviatrans
5N^AUL^Jsc Nordavia^Jsc Nordavia
5O^FPO^ASL Airlines France^
5P^PCP^PAL Airlines^Aerolinea Principal Chile
5R^RUC^RUTACA Airlines^
5S^PSV^Servicios Aereos Profesionales^
5T^MPE^Canadian North^
5U^TGU^Transportes Aéreos Guatemaltecos^
5V^^Everts^Lviv Airlines
5W^^WESTBahn^
5X^UPS^UPS Airlines^
5Y^GTI^Atlas Air^
5Z^KEM^CemAir^
6A^AMW^Armenia Airways^
6B^BLX^Tuifly Nordic^Britannia
6C^^Air Timor^
6D^TVQ^Travel Service Slovensko^
6E^IGO^IndiGo^
6F^PRW^Primera Air Nordic^
6G^LTD^Executive Express Aviation^
6H^ISR^Israir Airlines^Israir Airlin
6I^^Air Alsie^
6J^^Solaseed Air^
6K^SGB^Songbird Airways^
6L^AKK^Aklak Air^
6M^^Air Minas Linhas Aereas^
6N^NIN^Niger Airlines^
6O^OBS^Orbest^
6Q^SAW^Cham Wings Airlines^Slovak Arlines
6R^DRU^ALROSA^
6S^SGQ^Saudi Gulf Airlines^
6T^^Air Mandalay^
6V^^Avanza^Mars Rk
6W^^Saratov Airlines^
6Y^ART^SmartLynx Airlines^
6Z^^Eurasia Air^
7A^XRC^Express Air Cargo^
7B^^Fly Blue Crane^
7C^JJA^Jeju Air^
7D^^MGC Aviation^
7E^AWU^Sylt Air^
7F^FAB^First Air^First Air
7G^SFJ^StarFlyer^
7H^RVF^Ravn Alaska^
7I^INC^Insel Air International^
7J^TJK^Tajik Air^
7K^^Kogalymavia Airlines^
7L^CRN^Aero Caribbean^
7M^MYI^Mayair^Aeromonterr
7N^PWD^PAWA Dominicana^
7O^TVL^Travel Service Hungary^
7P^PST^Air Panama^
7Q^^Elite Airways^
7R^RLU^RusLine^
7S^RYA^Ryan Air Services^
7T^^Trenitalia^
7U^^Alpha Air Transport^
7V^^Federal Airlines^Federal Airlines
7W^WRC^Wind Rose Aviation^
7Y^MYP^Mann Yadanarpon Airlines^
7Z^^Halcyon Air Cabo Verde^
8A^^Panama Airways^
8B^TNU^TransNusa Air Services^
8C^ATN^Air Transport International^
8D^^Servant Air^
8E^BRG^Bering Air^
8F^STP^STP Airways^
8G^MFG^Mid Africa Aviation^
8H^BGH^BH Air^
8I^NLU^Insel Air Aruba^
8J^^Línea Aerea Eco Jet^
8L^LKE^Lucky Air^
8M^MMA^Myanmar Airways International^
8N^REG^Regional Air Services^
8P^PCO^Pacific Coastal Airlines^Pac Coastal
8Q^OHY^Onur Air^
8R^OLS^Sol Líneas Aéreas^
8S^^Shun Tak China^
8T^TID^Air Tindi^
8U^AAW^Afriqiyah Airways^
8V^ACP^Astral Aviation^
8W^EDR^Fly All Ways Airlines^
8Y^AAV^Pan Pacific Airlines^
8Z^CGA^Congo Airways^
9A^^Aladia Airlines^Airatlantic
9B^^AccesRail^
9C^CQH^Spring Airlines^
9E^FLG^Endeavor Air^
9F^^Eurostar^
9G^^9G Rail^
9H^CGN^Chang An Airlines^
